iter	Passed	Remaining
0	235	1886591
1	374	1499513
2	495	1321730
3	626	1252478
4	747	1194696
5	828	1103575
6	926	1057712
7	1038	1037042
8	1119	993981
9	1234	986089
10	1361	988572
11	1487	989940
12	1612	990652
13	1747	996551
14	1845	982599
15	1957	976569
16	2085	979482
17	2202	976657
18	2328	978059
19	2445	975668
20	2540	965248
21	2661	965248
22	2786	966427
23	2858	949931
24	2978	950154
25	3096	949585
26	3223	951979
27	3342	951516
28	3469	953635
29	3600	956557
30	3719	956186
31	3863	961966
32	3990	963397
33	4117	964791
34	4248	966830
35	4371	967078
36	4492	966901
37	4654	975141
38	4804	980722
39	4904	975915
40	5050	980409
41	5178	981197
42	5340	988280
43	5508	996036
44	5662	1000930
45	5828	1007787
46	5963	1009183
47	6101	1010879
48	6240	1012568
49	6396	1016972
50	6528	1017578
51	6675	1020400
52	6824	1023269
53	6882	1012700
54	7041	1017221
55	7173	1017577
56	7318	1019877
57	7460	1021516
58	7603	1023369
59	7716	1021188
60	7881	1025818
61	8033	1028495
62	8184	1031153
63	8345	1034837
64	8502	1037900
65	8620	1036278
66	8789	1040702
67	8892	1037334
68	9056	1040932
69	9212	1043671
70	9291	1037600
71	9428	1038199
72	9576	1039907
73	9744	1043733
74	9865	1042402
75	10032	1045992
76	10185	1048094
77	10336	1049859
78	10507	1053546
79	10678	1057165
80	10836	1059426
81	10985	1060748
82	11116	1060324
83	11266	1061761
84	11408	1062358
85	11437	1052521
86	11588	1054018
87	11732	1054866
88	11891	1056990
89	12042	1058371
90	12182	1058791
91	12266	1054357
92	12372	1051920
93	12518	1052855
94	12610	1049314
95	12784	1052630
96	12949	1055068
97	13097	1056057
98	13233	1056117
99	13386	1057520
100	13521	1057476
101	13674	1058838
102	13821	1059687
103	13947	1058944
104	14103	1060475
105	14260	1062040
106	14408	1062844
107	14543	1062784
108	14647	1060411
109	14774	1059737
110	14894	1058615
111	15012	1057296
112	15133	1056274
113	15256	1055387
114	15374	1054126
115	15472	1051613
116	15584	1050034
117	15705	1049053
118	15834	1048656
119	15956	1047784
120	16082	1047248
121	16199	1046046
122	16325	1045527
123	16450	1044893
124	16577	1044386
125	16699	1043565
126	16819	1042686
127	16922	1040708
128	17025	1038824
129	17134	1037307
130	17236	1035375
131	17364	1035053
132	17474	1033632
